ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ภาคกลาง,นนทบุรี,จับกุม,รีดเอาทรัพย์,1,0,0,1,0,1,0,0,0,0,,
ภาคกลาง,นนทบุรี,จับกุม,กรรโชกทรัพย์,3,5,3,3,1,3,4,4,1,1,,
ภาคกลาง,นนทบุรี,จับกุม,ชิงทรัพย์ (รวม),28,34,21,19,10,36,36,18,14,15,,
ภาคกลาง,นนทบุรี,จับกุม,บาดเจ็บ,12,8,3,7,1,4,2,2,3,9,,
ภาคกลาง,นนทบุรี,จับกุม,ไม่บาดเจ็บ,16,26,18,12,9,32,34,16,11,6,,
ภาคกลาง,นนทบุรี,จับกุม,ปล้นทรัพย์,13,10,11,6,4,10,11,10,9,9,,
ภาคกลาง,นนทบุรี,จับกุม,รับของโจร,2,2,5,2,2,8,4,12,8,10,,
ภาคกลาง,นนทบุรี,จับกุม,ทำให้เสียทรัพย์,41,30,27,18,29,15,27,16,18,13,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,รวม,"2,117","2,162","1,473","1,567","1,739","2,099","1,427","1,078","1,414","1,090",,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ลักทรัพย์,"1,821","1,921","1,261","1,384","1,585","1,879","1,217",958,"1,251",959,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,วิ่งราวทรัพย์,94,97,63,61,59,62,75,34,51,33,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,รีดเอาทรัพย์,1,1,1,0,3,0,0,1,0,0,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,กรรโชกทรัพย์,6,3,6,3,3,12,4,3,6,5,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ชิงทรัพย์ (รวม),62,42,51,27,23,33,41,21,21,29,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,บาดเจ็บ,19,19,18,12,4,6,5,5,7,16,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ไม่บาดเจ็บ,43,23,33,15,19,27,36,16,14,13,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ปล้นทรัพย์,44,15,18,12,11,15,13,20,10,8,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,รับของโจร,4,4,4,3,3,8,2,3,4,7,,
ภาคกลาง,ปทุมธานี,รับแจ้ง,ทำให้เสียทรัพย์,85,79,69,77,52,90,75,38,71,49,,
ภาคกลาง,ปทุมธานี,จับกุม,รวม,"1,084","1,067",746,753,709,865,830,550,608,617,,
ภาคกลาง,ปทุมธานี,จับกุม,ลักทรัพย์,906,937,622,658,626,737,690,484,523,523,,
ภาคกลาง,ปทุมธานี,จับกุม,วิ่งราวทรัพย์,60,57,37,37,31,35,49,18,32,26,,
ภาคกลาง,ปทุมธานี,จับกุม,รีดเอาทรัพย์,0,0,1,0,3,0,0,0,0,0,,
ภาคกลาง,ปทุมธานี,จับกุม,กรรโชกทรัพย์,3,2,5,0,0,7,1,2,5,5,,
ภาคกลาง,ปทุมธานี,จับกุม,ชิงทรัพย์ (รวม),42,25,38,17,17,25,29,14,14,26,,
ภาคกลาง,ปทุมธานี,จับกุม,บาดเจ็บ,11,11,11,9,3,5,4,4,5,14,,
ภาคกลาง,ปทุมธานี,จับกุม,ไม่บาดเจ็บ,31,14,27,8,14,20,25,10,9,12,,
ภาคกลาง,ปทุมธานี,จับกุม,ปล้นทรัพย์,32,9,13,8,8,11,11,19,7,8,,
ภาคกลาง,ปทุมธานี,จับกุม,รับของโจร,2,3,2,2,3,6,1,3,3,7,,
ภาคกลาง,ปทุมธานี,จับกุม,ทำให้เสียทรัพย์,39,34,28,31,21,44,49,10,24,22,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,รวม,"1,370","1,401",993,"1,086",909,"1,069","1,209",876,"1,634",899,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ลักทรัพย์,"1,192","1,242",863,957,810,949,"1,050",761,"1,512",771,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,วิ่งราวทรัพย์,66,55,41,56,44,45,69,46,53,38,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,รีดเอาทรัพย์,0,0,1,0,0,0,0,1,0,0,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,กรรโชกทรัพย์,0,5,3,3,1,3,6,0,4,4,,
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ชิงทรัพย์ (รวม),30,30,20,21,11,19,30,22,11,28,,
