ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ภาคเหนือ,พิจิตร,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคเหนือ,พิจิตร,จับกุม,กรรโชกทรัพย์,1,1,0,2,0,0,0,3,1,1,,
ภาคเหนือ,พิจิตร,จับกุม,ชิงทรัพย์ (รวม),3,8,3,3,2,4,4,1,3,0,,
ภาคเหนือ,พิจิตร,จับกุม,บาดเจ็บ,1,2,3,2,0,1,1,0,0,0,,
ภาคเหนือ,พิจิตร,จับกุม,ไม่บาดเจ็บ,2,6,0,1,2,3,3,1,3,0,,
ภาคเหนือ,พิจิตร,จับกุม,ปล้นทรัพย์,2,0,3,2,1,0,0,0,0,0,,
ภาคเหนือ,พิจิตร,จับกุม,รับของโจร,1,0,1,0,0,0,1,0,0,2,,
ภาคเหนือ,พิจิตร,จับกุม,ทำให้เสียทรัพย์,14,13,11,24,14,11,10,12,12,15,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,รวม,512,439,280,259,257,280,266,279,283,196,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,ลักทรัพย์,421,371,239,218,207,229,224,235,252,149,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,วิ่งราวทรัพย์,17,8,5,8,12,13,12,11,2,6,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,รีดเอาทรัพย์,0,0,1,0,0,0,0,0,0,0,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,กรรโชกทรัพย์,1,2,0,0,0,0,0,0,2,1,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,ชิงทรัพย์ (รวม),14,9,9,7,2,7,4,3,6,3,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,บาดเจ็บ,6,4,4,3,0,0,3,1,3,2,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,ไม่บาดเจ็บ,8,5,5,4,2,7,1,2,3,1,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,ปล้นทรัพย์,3,4,1,2,1,2,1,4,2,0,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,รับของโจร,0,0,0,0,0,0,0,0,0,1,,
ภาคเหนือ,เพชรบูรณ์,รับแจ้ง,ทำให้เสียทรัพย์,56,45,25,24,35,29,25,26,19,36,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,รวม,247,205,199,224,190,228,190,190,205,184,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,ลักทรัพย์,186,168,167,186,157,183,155,158,177,137,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,วิ่งราวทรัพย์,14,4,3,7,10,13,11,10,2,6,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,รีดเอาทรัพย์,0,0,1,0,0,0,0,0,0,0,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,กรรโชกทรัพย์,1,2,0,0,0,0,0,0,2,1,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,ชิงทรัพย์ (รวม),10,4,8,6,2,7,4,1,6,3,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,บาดเจ็บ,5,1,3,2,0,0,3,0,3,2,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,ไม่บาดเจ็บ,5,3,5,4,2,7,1,1,3,1,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,ปล้นทรัพย์,3,1,1,2,1,2,1,4,2,0,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,รับของโจร,0,0,0,0,0,0,0,0,0,1,,
ภาคเหนือ,เพชรบูรณ์,จับกุม,ทำให้เสียทรัพย์,33,26,19,23,20,23,19,17,16,36,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,รวม,"1,281","1,000",806,740,884,879,848,706,755,593,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,ลักทรัพย์,"1,033",800,633,586,725,746,742,607,636,482,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,วิ่งราวทรัพย์,44,41,27,26,18,18,15,16,30,17,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,รีดเอาทรัพย์,1,1,0,1,0,0,2,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,กรรโชกทรัพย์,6,13,1,3,2,2,2,6,2,1,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,ชิงทรัพย์ (รวม),19,18,6,9,13,20,17,12,22,16,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,บาดเจ็บ,6,7,3,5,3,6,4,4,8,7,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,ไม่บาดเจ็บ,13,11,3,4,10,14,13,8,14,9,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,ปล้นทรัพย์,9,6,4,9,4,5,2,4,0,5,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,รับของโจร,6,5,5,3,2,2,3,1,2,12,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,รับแจ้ง,ทำให้เสียทรัพย์,163,116,130,103,120,86,65,60,63,60,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,รวม,816,767,702,617,616,622,568,602,633,494,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,ลักทรัพย์,643,618,547,481,509,530,497,511,533,398,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,วิ่งราวทรัพย์,32,36,26,22,14,14,13,15,23,16,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,รีดเอาทรัพย์,1,1,0,1,0,0,1,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,กรรโชกทรัพย์,2,11,0,2,2,1,1,5,2,1,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,ชิงทรัพย์ (รวม),16,15,4,7,11,18,12,11,21,16,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,บาดเจ็บ,6,6,1,5,3,6,4,4,8,7,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,ไม่บาดเจ็บ,10,9,3,2,8,12,8,7,13,9,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,ปล้นทรัพย์,8,5,4,9,2,4,2,4,0,5,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,รับของโจร,5,4,5,3,2,2,3,1,1,12,,
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,จับกุม,ทำให้เสียทรัพย์,109,77,116,92,76,53,39,55,53,46,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,รวม,708,611,400,391,245,291,346,375,388,341,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,ลักทรัพย์,599,498,313,315,196,242,282,319,343,284,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,วิ่งราวทรัพย์,5,8,15,9,7,11,8,12,7,12,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,กรรโชกทรัพย์,0,1,2,0,1,2,0,1,3,1,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,ชิงทรัพย์ (รวม),2,17,3,5,5,2,12,3,4,6,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,บาดเจ็บ,1,4,2,2,0,1,3,2,2,3,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,ไม่บาดเจ็บ,1,13,1,3,5,1,9,1,2,3,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,ปล้นทรัพย์,0,3,1,1,0,0,4,0,0,1,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,รับของโจร,8,3,2,2,1,2,0,0,2,4,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,รับแจ้ง,ทำให้เสียทรัพย์,94,81,64,59,35,32,40,40,29,33,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,รวม,402,389,332,323,189,241,287,289,298,258,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,ลักทรัพย์,334,303,257,265,153,199,231,238,259,210,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,วิ่งราวทรัพย์,3,4,12,8,6,10,8,12,7,12,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,กรรโชกทรัพย์,0,1,2,0,1,1,0,1,2,0,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,ชิงทรัพย์ (รวม),1,14,3,3,5,2,11,3,3,5,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,บาดเจ็บ,1,2,2,1,0,1,3,2,1,2,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,ไม่บาดเจ็บ,0,12,1,2,5,1,8,1,2,3,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,ปล้นทรัพย์,0,3,1,1,0,0,4,0,0,1,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,รับของโจร,7,3,2,2,1,2,0,0,2,3,,
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,จับกุม,ทำให้เสียทรัพย์,57,61,55,44,23,27,33,35,25,27,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,รวม,420,357,273,302,254,304,328,303,420,287,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,ลักทรัพย์,338,300,221,241,219,255,289,261,370,241,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,วิ่งราวทรัพย์,10,8,5,14,6,6,5,8,7,4,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,กรรโชกทรัพย์,2,1,0,0,2,2,1,3,0,4,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,ชิงทรัพย์ (รวม),5,6,4,5,3,2,6,1,1,0,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,บาดเจ็บ,5,4,1,5,1,0,1,0,1,3,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,ไม่บาดเจ็บ,0,2,3,0,2,2,5,1,0,1,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,ปล้นทรัพย์,0,1,3,2,0,1,1,1,1,2,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,รับของโจร,1,1,0,0,0,1,0,0,3,1,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,รับแจ้ง,ทำให้เสียทรัพย์,64,40,40,40,24,37,26,29,38,35,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,รวม,285,261,210,228,124,239,245,219,271,221,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,ลักทรัพย์,236,218,164,174,99,199,211,181,227,182,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,วิ่งราวทรัพย์,8,7,5,13,4,6,5,8,6,4,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,กรรโชกทรัพย์,2,1,0,0,2,2,1,3,0,3,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,ชิงทรัพย์ (รวม),4,5,3,5,3,1,6,1,1,0,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,บาดเจ็บ,4,4,1,5,1,0,1,0,1,2,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,ไม่บาดเจ็บ,0,1,2,0,2,1,5,1,0,1,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,ปล้นทรัพย์,0,1,2,2,0,1,1,1,1,1,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,รับของโจร,0,1,0,0,0,0,0,0,3,1,,
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,จับกุม,ทำให้เสียทรัพย์,35,28,36,34,16,30,21,25,33,30,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,รวม,600,540,415,417,323,348,423,392,614,487,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,ลักทรัพย์,486,405,313,311,264,282,353,324,547,382,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,วิ่งราวทรัพย์,8,9,12,10,3,9,6,15,12,24,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,กรรโชกทรัพย์,1,0,2,2,1,2,2,3,1,8,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,ชิงทรัพย์ (รวม),7,9,3,11,2,3,9,4,2,1,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,บาดเจ็บ,4,6,3,9,0,3,1,0,1,5,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,ไม่บาดเจ็บ,3,3,0,2,2,0,8,4,1,3,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,ปล้นทรัพย์,1,2,0,1,0,0,4,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,รับของโจร,3,1,1,0,2,0,3,1,4,4,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รับแจ้ง,ทำให้เสียทรัพย์,94,114,84,82,51,52,46,45,48,68,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,รวม,375,353,281,347,222,269,268,259,365,319,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,ลักทรัพย์,307,274,213,258,187,217,213,209,313,230,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,วิ่งราวทรัพย์,7,3,9,8,2,8,4,13,7,20,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,กรรโชกทรัพย์,1,0,1,2,0,2,2,3,1,6,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,ชิงทรัพย์ (รวม),5,6,3,11,2,3,9,1,1,1,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,บาดเจ็บ,3,4,3,9,0,3,1,0,0,4,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,ไม่บาดเจ็บ,2,2,0,2,2,0,8,1,1,2,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,ปล้นทรัพย์,0,1,0,1,0,0,4,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,รับของโจร,2,1,1,0,2,0,3,1,4,3,,
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,จับกุม,ทำให้เสียทรัพย์,53,68,54,67,29,39,33,32,39,59,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,รวม,731,535,493,492,657,546,594,586,724,586,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,ลักทรัพย์,568,428,355,385,570,477,492,503,645,518,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,วิ่งราวทรัพย์,29,18,30,13,19,16,26,27,20,11,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,1,0,0,1,2,0,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,กรรโชกทรัพย์,3,2,1,4,5,1,1,4,4,1,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,ชิงทรัพย์ (รวม),22,11,6,5,6,8,21,8,8,10,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,บาดเจ็บ,3,1,2,0,2,3,5,0,2,4,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,ไม่บาดเจ็บ,19,10,4,5,4,5,16,8,6,6,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,ปล้นทรัพย์,8,1,4,2,5,2,1,3,0,1,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,รับของโจร,2,3,0,3,4,0,6,1,4,5,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รับแจ้ง,ทำให้เสียทรัพย์,99,72,97,80,47,42,47,39,41,40,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,รวม,498,449,317,343,252,278,371,384,471,391,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,ลักทรัพย์,377,367,224,261,208,236,288,318,413,335,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,วิ่งราวทรัพย์,23,16,23,11,10,11,20,21,12,9,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,1,1,0,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,กรรโชกทรัพย์,2,1,0,3,1,1,1,4,4,1,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,ชิงทรัพย์ (รวม),16,5,5,4,4,5,18,7,6,10,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,บาดเจ็บ,3,1,2,0,0,2,3,0,1,4,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,ไม่บาดเจ็บ,13,4,3,4,4,3,15,7,5,6,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,ปล้นทรัพย์,6,1,4,2,5,1,1,3,0,1,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,รับของโจร,2,3,0,3,1,0,6,1,4,4,,
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,จับกุม,ทำให้เสียทรัพย์,72,56,61,59,23,24,37,29,31,31,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,รวม,197,221,129,160,112,108,147,168,174,119,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,ลักทรัพย์,159,174,97,122,94,96,135,159,146,105,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,วิ่งราวทรัพย์,7,6,6,8,2,2,1,2,6,2,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,1,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,กรรโชกทรัพย์,0,3,1,1,0,1,1,1,2,1,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,ชิงทรัพย์ (รวม),1,0,3,3,1,2,5,2,2,1,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,บาดเจ็บ,0,0,2,1,0,0,3,1,0,1,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,ไม่บาดเจ็บ,1,0,1,2,1,2,2,1,2,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,ปล้นทรัพย์,1,2,1,1,0,0,1,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,รับของโจร,1,0,0,2,0,0,1,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,รับแจ้ง,ทำให้เสียทรัพย์,28,36,21,23,15,7,3,4,17,10,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,รวม,144,138,110,120,91,88,101,118,118,93,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,ลักทรัพย์,119,103,81,89,78,77,93,113,94,79,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,วิ่งราวทรัพย์,5,5,4,8,2,2,1,2,5,2,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,1,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,กรรโชกทรัพย์,0,3,1,0,0,1,1,1,2,1,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,ชิงทรัพย์ (รวม),1,0,3,2,1,2,2,1,2,1,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,บาดเจ็บ,0,0,2,1,0,0,0,0,0,1,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,ไม่บาดเจ็บ,1,0,1,1,1,2,2,1,2,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,ปล้นทรัพย์,1,2,1,1,0,0,1,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,รับของโจร,1,0,0,2,0,0,1,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ยโสธร,จับกุม,ทำให้เสียทรัพย์,17,25,20,18,10,6,2,1,14,10,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,รวม,337,324,286,267,206,283,195,219,198,215,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,ลักทรัพย์,287,244,235,209,169,241,165,187,160,176,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,วิ่งราวทรัพย์,7,16,13,12,4,6,3,9,10,5,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,รีดเอาทรัพย์,0,0,0,1,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,กรรโชกทรัพย์,1,2,0,0,1,0,1,0,1,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,ชิงทรัพย์ (รวม),4,6,1,5,2,4,7,1,1,9,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,บาดเจ็บ,3,5,1,2,0,3,1,1,0,5,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,ไม่บาดเจ็บ,1,1,0,3,2,1,6,0,1,4,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,ปล้นทรัพย์,1,1,0,0,0,1,0,1,0,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,รับของโจร,1,0,0,4,2,0,0,1,1,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รับแจ้ง,ทำให้เสียทรัพย์,36,55,37,36,28,31,19,20,25,25,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,รวม,218,220,233,224,141,211,138,181,162,159,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,ลักทรัพย์,181,173,188,179,114,181,113,155,127,128,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,วิ่งราวทรัพย์,6,14,12,11,3,4,3,6,10,5,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,รีดเอาทรัพย์,0,0,0,1,0,0,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,กรรโชกทรัพย์,0,1,0,0,1,0,1,0,1,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,ชิงทรัพย์ (รวม),2,4,1,5,2,4,6,0,1,9,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,บาดเจ็บ,1,4,1,2,0,3,1,0,0,5,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,ไม่บาดเจ็บ,1,0,0,3,2,1,5,0,1,4,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,ปล้นทรัพย์,1,0,0,0,0,0,0,1,0,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,รับของโจร,1,0,0,4,2,0,0,1,1,0,,
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,จับกุม,ทำให้เสียทรัพย์,27,28,32,24,19,22,15,18,22,17,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,รวม,138,84,81,90,109,93,101,66,69,82,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,ลักทรัพย์,116,66,72,60,90,86,81,54,59,75,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,วิ่งราวทรัพย์,0,3,4,7,2,1,3,2,2,1,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,1,0,0,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,กรรโชกทรัพย์,0,0,0,1,1,0,0,1,0,0,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,ชิงทรัพย์ (รวม),1,4,1,1,6,0,3,1,0,1,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,บาดเจ็บ,0,0,0,1,1,0,1,0,0,1,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,ไม่บาดเจ็บ,1,4,1,0,5,0,2,1,0,0,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,ปล้นทรัพย์,0,0,0,0,1,0,2,0,1,0,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,รับของโจร,0,0,1,2,1,1,0,0,0,0,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รับแจ้ง,ทำให้เสียทรัพย์,16,11,3,19,8,5,12,7,7,5,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,จับกุม,รวม,98,57,58,71,68,68,86,60,59,75,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,จับกุม,ลักทรัพย์,80,43,50,45,53,62,68,50,49,68,,
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,จับกุม,วิ่งราวทรัพย์,0,3,4,5,2,1,2,2,2,1,,
