ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
ภาคกลาง,ปทุมธานี,จับกุม,พยายามฆ่า,27,32,49,33,32,26,47,28,53,32
ภาคกลาง,ปทุมธานี,จับกุม,ทำร้ายร่างกาย,290,229,211,194,120,204,231,150,177,174
ภาคกลาง,ปทุมธานี,จับกุม,ข่มขืนกระทำชำเรา,47,55,67,44,36,35,45,31,22,25
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,รวม,562,437,466,411,326,367,396,331,380,351
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,38,38,29,51,33,36,25,39,31,16
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,5,4,4,3,11,14,11,7,15,8
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ทำให้ตายโดยประมาท,4,4,0,1,1,1,5,1,3,3
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,พยายามฆ่า,86,62,70,56,57,58,68,28,21,29
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ทำร้ายร่างกาย,346,270,304,233,179,213,245,222,279,258
ภาคกลาง,พระนครศรีอยุธยา,รับแจ้ง,ข่มขืนกระทำชำเรา,83,59,59,67,45,45,42,34,31,37
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,รวม,299,251,268,224,159,175,247,174,182,195
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ฆ่าผู้อื่นโดยเจตนา,19,21,20,18,18,25,18,22,18,12
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,3,2,4,2,7,6,8,6,10,7
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ทำให้ตายโดยประมาท,2,4,0,0,0,0,3,0,0,2
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,พยายามฆ่า,44,30,37,24,29,27,39,14,10,16
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ทำร้ายร่างกาย,196,165,171,148,84,100,154,114,128,141
ภาคกลาง,พระนครศรีอยุธยา,จับกุม,ข่มขืนกระทำชำเรา,35,29,36,32,21,17,25,18,16,17
ภาคกลาง,อ่างทอง,รับแจ้ง,รวม,226,200,183,158,138,122,139,152,192,150
ภาคกลาง,อ่างทอง,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,15,13,21,13,10,10,12,11,5,6
ภาคกลาง,อ่างทอง,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,1,0,2,0,1,4,2,4,1,5
ภาคกลาง,อ่างทอง,รับแจ้ง,ทำให้ตายโดยประมาท,1,0,1,1,2,1,0,1,1,0
ภาคกลาง,อ่างทอง,รับแจ้ง,พยายามฆ่า,38,30,44,29,20,19,31,13,14,14
ภาคกลาง,อ่างทอง,รับแจ้ง,ทำร้ายร่างกาย,147,122,94,94,82,65,77,105,159,116
ภาคกลาง,อ่างทอง,รับแจ้ง,ข่มขืนกระทำชำเรา,24,35,21,21,23,23,17,18,12,9
ภาคกลาง,อ่างทอง,จับกุม,รวม,98,76,67,75,54,51,87,68,102,100
ภาคกลาง,อ่างทอง,จับกุม,ฆ่าผู้อื่นโดยเจตนา,11,6,9,7,1,5,10,4,3,5
ภาคกลาง,อ่างทอง,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,0,0,1,0,1,3,1,2,1,3
ภาคกลาง,อ่างทอง,จับกุม,ทำให้ตายโดยประมาท,1,0,1,1,1,1,0,1,1,0
ภาคกลาง,อ่างทอง,จับกุม,พยายามฆ่า,13,11,15,11,11,10,20,8,7,10
ภาคกลาง,อ่างทอง,จับกุม,ทำร้ายร่างกาย,69,44,34,46,31,24,43,44,83,74
ภาคกลาง,อ่างทอง,จับกุม,ข่มขืนกระทำชำเรา,4,15,7,10,9,8,13,9,7,8
ภาคกลาง,ลพบุรี,รับแจ้ง,รวม,481,376,367,332,300,261,253,222,229,217
ภาคกลาง,ลพบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,58,50,43,40,41,34,31,31,17,14
ภาคกลาง,ลพบุรี,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,0,4,6,2,4,9,11,10,8,7
ภาคกลาง,ลพบุรี,รับแจ้ง,ทำให้ตายโดยประมาท,3,3,6,1,7,1,2,1,0,1
ภาคกลาง,ลพบุรี,รับแจ้ง,พยายามฆ่า,119,61,68,47,42,56,50,29,27,22
ภาคกลาง,ลพบุรี,รับแจ้ง,ทำร้ายร่างกาย,229,194,177,176,142,125,101,113,142,138
ภาคกลาง,ลพบุรี,รับแจ้ง,ข่มขืนกระทำชำเรา,72,64,67,66,64,36,58,38,35,35
ภาคกลาง,ลพบุรี,จับกุม,รวม,205,196,208,148,137,140,181,128,133,135
ภาคกลาง,ลพบุรี,จับกุม,ฆ่าผู้อื่นโดยเจตนา,30,21,24,17,23,22,26,17,10,14
ภาคกลาง,ลพบุรี,จับกุม,ฆ่าผู้อื่นโดยไม่เจตนา,0,3,6,1,2,7,9,7,6,5
ภาคกลาง,ลพบุรี,จับกุม,ทำให้ตายโดยประมาท,2,3,4,0,6,0,2,0,0,1
ภาคกลาง,ลพบุรี,จับกุม,พยายามฆ่า,54,28,33,19,18,22,32,19,17,12
ภาคกลาง,ลพบุรี,จับกุม,ทำร้ายร่างกาย,93,102,107,87,65,69,68,65,84,88
ภาคกลาง,ลพบุรี,จับกุม,ข่มขืนกระทำชำเรา,26,39,34,24,23,20,44,20,16,15
ภาคกลาง,สิงห์บุรี,รับแจ้ง,รวม,188,150,137,127,132,152,114,101,129,100
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ฆ่าผู้อื่นโดยเจตนา,9,14,8,7,5,5,10,4,4,4
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ฆ่าผู้อื่นโดยไม่เจตนา,5,1,0,0,1,2,6,2,3,0
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ทำให้ตายโดยประมาท,0,0,0,0,0,3,0,0,1,0
ภาคกลาง,สิงห์บุรี,รับแจ้ง,พยายามฆ่า,20,23,20,20,24,19,7,12,7,12
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ทำร้ายร่างกาย,134,100,93,87,88,105,84,71,104,75
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ข่มขืนกระทำชำเรา,20,12,16,13,14,18,7,12,10,9
ภาคกลาง,สิงห์บุรี,จับกุม,รวม,100,83,59,54,44,62,51,34,36,57
