ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ภาคกลาง,ลพบุรี,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,116286.725
ภาคกลาง,ลพบุรี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,126952.2675
ภาคกลาง,ลพบุรี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,85028.8525
ภาคกลาง,ลพบุรี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,34547.175
ภาคกลาง,ลพบุรี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,113.9075
ภาคกลาง,ลพบุรี,ระดับอุดมศึกษา,สายวิชาการ,52972.5975
ภาคกลาง,ลพบุรี,ระดับอุดมศึกษา,สายวิชาชีพ,36417.965
ภาคกลาง,ลพบุรี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,11139.8025
ภาคกลาง,ลพบุรี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,ลพบุรี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,สิงห์บุรี,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,177222
ภาคกลาง,สิงห์บุรี,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,3433.725
ภาคกลาง,สิงห์บุรี,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,41576.3325
ภาคกลาง,สิงห์บุรี,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,27446.3725
ภาคกลาง,สิงห์บุรี,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,32883.3875
ภาคกลาง,สิงห์บุรี,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,23517.795
ภาคกลาง,สิงห์บุรี,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,9297.48
ภาคกลาง,สิงห์บุรี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,20.5675
ภาคกลาง,สิงห์บุรี,ระดับอุดมศึกษา,สายวิชาการ,21318.0075
ภาคกลาง,สิงห์บุรี,ระดับอุดมศึกษา,สายวิชาชีพ,12021.4375
ภาคกลาง,สิงห์บุรี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,5556.53
ภาคกลาง,สิงห์บุรี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,สิงห์บุรี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,150.37
ภาคกลาง,ชัยนาท,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,268844.005
ภาคกลาง,ชัยนาท,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,11081.51
ภาคกลาง,ชัยนาท,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,81135.03
ภาคกลาง,ชัยนาท,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,49890.08
ภาคกลาง,ชัยนาท,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,48534.915
ภาคกลาง,ชัยนาท,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,27951.9425
ภาคกลาง,ชัยนาท,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,8696.4525
ภาคกลาง,ชัยนาท,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,39.69
ภาคกลาง,ชัยนาท,ระดับอุดมศึกษา,สายวิชาการ,21938.3975
