ระยอง,รวม,"1,928","1,020",928,833,807,"3,400","2,874","3,336","3,374",317,"4,835",
,เฮโรอีน,0,0,0,0,0,2,2,0,1,1,3,
,เอ็กซ์ตาซี,1,2,0,0,1,5,4,1,2,1,3,
,กัญชาแห้ง,55,31,34,29,31,238,259,171,179,1,205,
,พืชกระท่อม,4,2,1,4,8,15,19,7,23,10,"1,789",
,เมทแอมเฟตามีน,"1,609",886,846,771,696,"2,658","2,218","2,395","2,008",232,"1,789",
,ไอซ์,258,99,47,29,70,471,356,746,"1,138",70,"1,034",
,โคคาอีน (โคเคน),0,0,0,0,1,0,0,0,0,0,0,
,คีตามีน,1,0,0,0,0,11,16,16,23,2,12,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
จันทบุรี,รวม,"1,184","1,218","1,440",300,193,"1,396","1,110","1,548","1,740","1,440","1,037",
,เฮโรอีน,0,0,0,0,0,1,1,1,1,1,0,
,เอ็กซ์ตาซี,0,0,0,0,1,0,0,0,13,7,10,
,กัญชาแห้ง,82,80,102,24,17,117,105,122,143,148,124,
,พืชกระท่อม,4,5,0,5,6,15,23,26,32,35,14,
,เมทแอมเฟตามีน,655,455,746,220,144,970,738,882,795,411,302,
,ไอซ์,443,678,592,51,25,293,242,515,733,821,574,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,1,2,23,17,13,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ตราด,รวม,46,117,112,11,26,409,615,594,741,440,52,
,เฮโรอีน,0,0,0,0,2,2,14,8,9,4,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,1,0,0,0,0,
,กัญชาแห้ง,1,8,13,2,1,36,57,38,57,54,3,
,พืชกระท่อม,0,0,0,0,1,7,9,7,18,18,0,
,เมทแอมเฟตามีน,35,91,89,4,15,226,262,182,90,32,7,
,ไอซ์,10,16,10,5,7,137,271,355,566,331,42,
,โคคาอีน (โคเคน),0,2,0,0,0,0,1,0,0,0,0,
,คีตามีน,0,0,0,0,0,1,0,4,1,1,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ฉะเชิงเทรา,รวม,"1,784","2,333","2,580","2,504",814,"3,011","2,210","2,940","2,852","2,286","2,120",
,เฮโรอีน,0,0,0,0,0,0,0,0,0,0,0,
,เอ็กซ์ตาซี,1,0,0,0,0,0,0,2,21,3,7,
,กัญชาแห้ง,43,74,149,257,80,344,201,155,123,111,187,
,พืชกระท่อม,18,37,71,108,68,93,58,65,143,97,48,
,เมทแอมเฟตามีน,"1,644","2,065","2,298","2,076",640,"2,359","1,673","2,199","1,527",781,835,
,ไอซ์,77,157,62,62,23,206,264,497,"1,011","1,279","1,025",
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,1,0,0,1,3,9,14,22,27,15,18,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
ปราจีนบุรี,รวม,"2,089","2,304","1,917",538,365,"1,329",668,537,"1,498","1,122","1,266",
,เฮโรอีน,0,0,0,0,0,0,0,0,0,0,0,
,เอ็กซ์ตาซี,0,1,0,1,0,0,0,0,1,1,0,
,กัญชาแห้ง,18,22,30,6,18,32,11,15,29,54,64,
,พืชกระท่อม,6,8,3,4,2,8,5,0,10,19,20,
,เมทแอมเฟตามีน,"2,013","2,172","1,822",505,335,"1,241",628,483,904,521,684,
,ไอซ์,52,101,62,22,10,48,24,39,546,522,491,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,0,8,5,7,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
นครนายก,รวม,"1,101",548,97,7,7,91,647,"1,076","1,189","1,329",730,
,เฮโรอีน,0,0,0,0,0,0,0,0,1,3,13,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,1,2,0,
,กัญชาแห้ง,18,5,2,1,0,1,16,67,57,93,39,
,พืชกระท่อม,23,12,1,0,0,15,9,13,30,41,4,
,เมทแอมเฟตามีน,943,486,91,3,7,67,522,738,751,711,489,
,ไอซ์,117,45,3,2,0,8,99,254,337,452,180,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,1,0,0,1,4,12,27,5,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
สระแก้ว,รวม,939,"1,746","1,511","1,026",475,865,484,584,121,"1,515","1,565",
,เฮโรอีน,0,0,0,0,0,0,0,0,0,2,0,
,เอ็กซ์ตาซี,0,0,0,0,0,1,0,1,0,1,0,
